# This file contains all populations of all generations.
RS#	Cum.Gen	Index	Objective1	Objective2	Rank	CrowdingDistance	FieldID_1	FieldID_2	FieldID_3	FieldID_4	FieldID_5	FieldID_6	FieldID_7	FieldID_8	FieldID_9	FieldID_10	FieldID_11	FieldID_12	FieldID_13	FieldID_14	FieldID_15	FieldID_16	FieldID_17	FieldID_18	FieldID_19	FieldID_20	FieldID_21	FieldID_22	FieldID_23	FieldID_24	FieldID_25	FieldID_26	FieldID_27	FieldID_28	FieldID_29	FieldID_30	FieldID_31	FieldID_32	FieldID_33	FieldID_34	FieldID_35	FieldID_36	FieldID_37	FieldID_38	FieldID_39	FieldID_40	FieldID_41	FieldID_42	FieldID_43	FieldID_44	FieldID_45	FieldID_46	FieldID_47	FieldID_48	FieldID_49	FieldID_50	FieldID_51	FieldID_52	FieldID_53	FieldID_54	FieldID_55	FieldID_56	FieldID_57	FieldID_58	FieldID_59	FieldID_60	FieldID_61
0	2	18	-9.185500e+00	1.239211e+07	2	8.824481e-02	0	2	0	0	0	2	3	0	0	3	2	0	0	3	1	0	0	0	0	1	0	0	0	0	3	0	2	0	0	0	0	1	0	0	0	0	2	0	0	3	2	0	3	0	2	0	3	0	1	2	1	1	0	0	1	0	3	0	0	1	1	
0	2	19	3.504252e+01	4.880007e+06	2	1.000000e+14	1	0	0	0	3	1	0	0	0	0	0	0	0	3	1	0	0	3	0	0	0	0	2	0	2	0	3	0	0	0	0	0	0	0	0	0	1	2	0	2	2	0	0	0	0	0	1	0	0	3	1	1	0	0	0	0	3	0	0	2	3	
0	2	20	1.733258e+01	6.403860e+06	2	1.042703e-01	0	2	0	0	3	3	2	0	0	3	1	0	0	2	3	3	0	2	0	3	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	2	1	2	0	2	2	0	3	0	1	0	2	0	2	2	1	0	0	0	1	0	0	0	0	1	3	
0	2	21	1.292920e+01	6.902172e+06	2	3.269418e-01	2	2	0	0	0	1	0	0	0	1	1	0	0	0	2	0	0	3	0	2	0	0	2	0	2	0	1	0	0	2	0	2	0	0	0	3	1	2	0	0	2	0	3	0	0	0	0	0	0	0	3	2	0	0	3	0	0	0	0	2	2	
0	2	22	3.344709e+01	5.585193e+06	2	3.016383e-01	1	3	1	0	1	1	0	0	0	2	3	0	0	2	2	1	0	0	0	0	0	0	0	0	2	0	2	0	0	3	0	1	0	0	0	2	0	1	0	2	0	0	2	0	2	0	2	0	2	1	3	2	0	0	3	0	0	0	0	2	1	
0	2	23	3.072932e+00	1.106630e+07	2	2.268270e-01	2	3	0	0	0	0	3	0	0	3	0	0	0	1	2	3	0	1	0	1	0	0	3	0	0	0	1	0	0	3	0	0	0	0	0	1	3	0	0	2	2	0	0	0	2	0	0	0	2	1	0	2	0	0	2	0	3	0	0	2	2	
0	2	24	-9.185500e+00	1.239211e+07	2	1.385822e-01	0	2	0	0	0	2	3	0	0	3	2	0	0	3	1	0	0	0	0	1	0	0	0	0	3	0	2	0	0	0	0	1	0	0	0	0	2	0	0	3	2	0	3	0	2	0	2	0	0	2	1	1	0	0	1	0	3	0	0	1	1	
0	2	25	3.504252e+01	4.880007e+06	2	4.693666e-02	1	0	0	0	3	1	0	0	0	0	0	0	0	3	1	0	0	3	0	0	0	0	0	0	1	0	2	0	0	3	0	0	0	0	0	2	1	2	0	2	2	0	3	0	1	0	2	0	2	2	1	0	0	0	0	0	3	0	0	2	3	
0	2	26	1.733258e+01	6.403860e+06	2	2.153426e-01	0	2	0	0	3	3	2	0	0	3	1	0	0	2	3	3	0	2	0	3	0	0	2	0	2	0	3	0	0	0	0	0	0	0	0	0	1	2	0	2	2	0	0	0	0	0	1	0	0	3	1	1	0	0	1	0	0	0	0	1	3	
0	2	27	1.139586e+02	5.138559e+06	3	1.000000e+14	0	3	0	0	2	1	1	0	0	1	1	0	0	2	0	1	0	3	0	3	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	2	0	1	0	0	3	0	2	0	2	0	2	3	3	0	0	0	1	0	3	0	0	2	3	
0	2	28	-7.959795e+00	1.375461e+07	3	1.000000e+14	2	2	0	0	1	2	0	0	0	1	1	0	0	0	2	0	0	3	0	2	0	0	2	0	2	0	1	0	0	2	0	2	0	0	0	3	1	2	0	0	2	0	3	0	0	0	0	0	0	0	3	2	0	0	0	0	3	0	0	1	2	
0	2	29	3.817996e+01	5.151762e+06	3	7.339365e-01	0	3	2	0	3	2	2	0	0	1	0	0	0	0	1	2	0	1	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	1	0	3	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	1	
0	2	30	-2.316838e-01	1.244371e+07	3	5.806906e-01	2	3	1	0	2	3	0	0	0	2	2	0	0	0	2	3	0	1	0	2	0	0	1	0	3	0	3	0	0	3	0	2	0	0	0	3	3	0	0	3	1	0	3	0	1	0	3	0	1	2	2	0	0	0	1	0	2	0	0	2	2	
0	2	31	1.139586e+02	5.138559e+06	3	3.107761e-01	0	3	0	0	2	1	3	0	0	0	0	0	0	2	0	3	0	2	0	1	0	0	0	0	2	0	2	0	0	3	0	1	0	0	0	0	1	0	0	2	0	0	1	0	3	0	3	0	2	1	3	2	0	0	1	0	3	0	0	2	3	
0	2	32	3.817996e+01	5.151762e+06	3	1.582963e-01	0	3	2	0	3	2	2	0	0	3	0	0	0	0	1	2	0	1	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	1	0	3	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	2	
0	3	1	-1.386288e+01	1.366713e+07	1	4.925527e-03	2	3	1	0	0	3	3	0	0	3	1	0	0	2	1	0	0	0	0	3	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	3	3	1	0	3	1	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	
0	3	2	8.505015e+00	6.064470e+06	1	9.727210e-02	3	1	0	0	2	1	0	0	0	3	1	0	0	3	2	2	0	2	0	2	0	0	2	0	3	0	2	0	0	2	0	3	0	0	0	3	2	0	0	1	2	0	2	0	1	0	1	0	2	0	2	2	0	0	0	0	2	0	0	3	0	
0	3	3	-1.386288e+01	1.366713e+07	1	1.024120e-01	2	3	1	0	0	3	3	0	0	3	1	0	0	2	1	0	0	0	0	3	0	0	2	0	2	0	1	0	0	2	0	2	0	0	0	3	1	2	0	0	2	0	3	0	0	0	0	0	0	0	3	2	0	0	2	0	0	0	0	0	0	
0	3	4	8.505015e+00	6.064470e+06	1	9.928158e-02	3	1	0	0	2	1	0	0	0	3	1	0	0	3	2	3	0	1	0	0	0	0	3	0	3	0	3	0	0	0	0	1	0	0	0	2	0	0	0	1	2	0	3	0	0	0	2	0	0	3	3	1	0	0	0	0	2	0	0	3	0	
0	3	5	-1.348622e+01	1.124774e+07	1	2.803061e-01	0	3	0	0	2	1	3	0	0	0	0	0	0	2	0	3	0	2	0	1	0	0	0	0	2	0	2	0	0	3	0	1	0	0	0	0	1	0	0	2	0	0	1	0	3	0	3	0	2	1	3	2	0	0	1	0	3	0	0	2	3	
0	3	6	1.609717e+01	3.475386e+06	1	1.000000e+14	1	0	0	0	3	1	0	0	0	0	0	0	0	3	1	0	0	3	0	0	0	0	2	0	2	0	3	0	0	0	0	0	0	0	0	0	1	2	0	2	2	0	0	0	0	0	1	0	0	3	1	1	0	0	0	0	3	0	0	2	3	
0	3	7	-1.386288e+01	1.366713e+07	1	1.783860e-01	2	3	1	0	0	3	3	0	0	3	1	0	0	2	1	0	0	0	0	3	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	3	3	1	0	3	1	0	1	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	
0	3	8	8.505015e+00	6.064470e+06	1	2.978284e-01	3	1	0	0	2	1	0	0	0	3	1	0	0	3	2	3	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	2	1	0	2	1	0	0	0	3	0	1	0	2	2	2	1	0	0	0	0	2	0	0	3	0	
0	3	9	-4.106491e-01	1.088851e+07	1	4.823123e-01	3	3	2	0	1	3	2	0	0	0	2	0	0	0	2	3	0	3	0	1	0	0	3	0	3	0	3	0	0	0	0	1	0	0	0	2	0	0	0	1	2	0	3	0	0	0	0	0	2	1	3	1	0	0	3	0	0	0	0	3	1	
0	3	10	-2.055327e+01	1.639302e+07	1	2.253118e-01	3	1	0	0	3	3	3	0	0	3	0	0	0	2	0	3	0	3	0	3	0	0	2	0	3	0	1	0	0	1	0	1	0	0	0	2	2	1	0	3	1	0	3	0	2	0	0	0	1	1	2	0	0	0	1	0	2	0	0	0	0	
0	3	11	-2.213829e+01	1.678385e+07	1	1.000000e+14	3	1	3	0	3	3	3	0	0	3	3	0	0	1	0	3	0	3	0	3	0	0	2	0	3	0	1	0	0	1	0	1	0	0	0	2	2	1	0	3	1	0	3	0	2	0	0	0	1	1	2	0	0	0	1	0	2	0	0	0	0	
0	3	12	-2.055327e+01	1.647297e+07	2	1.000000e+14	3	1	3	0	1	3	3	0	0	3	3	0	0	1	0	3	0	3	0	3	0	0	2	0	3	0	1	0	0	1	0	1	0	0	0	2	2	1	0	3	1	0	3	0	2	0	0	0	1	1	2	0	0	0	1	0	2	0	0	0	0	
0	3	13	2.738378e+01	4.489911e+06	2	1.000000e+14	2	2	3	0	0	3	0	0	0	3	1	0	0	2	1	2	0	2	0	0	0	0	2	0	2	0	1	0	0	2	0	2	0	0	0	3	1	2	0	0	2	0	3	0	0	0	0	0	2	0	3	2	0	0	0	0	3	0	0	3	3	
0	3	14	-1.190397e+01	1.144036e+07	2	3.318793e-01	2	2	0	0	1	2	3	0	0	0	0	0	0	2	0	3	0	2	0	2	0	0	0	0	2	0	2	0	0	3	0	1	0	0	0	0	1	0	0	1	0	0	1	0	3	0	3	0	2	1	3	2	0	0	0	0	3	0	0	2	3	
0	3	15	1.169726e+01	7.093170e+06	2	2.950731e-01	2	2	0	0	1	2	0	0	0	1	1	0	0	0	2	0	0	3	0	2	0	0	2	0	2	0	1	0	0	2	0	2	0	0	0	3	1	2	0	0	2	0	3	0	0	0	0	0	0	0	3	2	0	0	0	0	3	0	0	1	2	
0	3	16	-2.178105e-01	1.102135e+07	2	2.881837e-01	3	3	2	0	3	3	2	0	0	0	2	0	0	0	2	3	0	3	0	1	0	0	3	0	3	0	3	0	0	0	0	1	0	0	0	2	0	0	0	1	2	0	3	0	0	0	0	0	2	1	3	1	0	0	3	0	0	0	0	3	1	
