# This file contains all non-dominated populations of all generations.
RS#	Cum.Gen	Index	Objective1	Objective2	Rank	CrowdingDistance	FieldID_1	FieldID_2	FieldID_3	FieldID_4	FieldID_5	FieldID_6	FieldID_7	FieldID_8	FieldID_9	FieldID_10	FieldID_11	FieldID_12	FieldID_13	FieldID_14	FieldID_15	FieldID_16	FieldID_17	FieldID_18	FieldID_19	FieldID_20	FieldID_21	FieldID_22	FieldID_23	FieldID_24	FieldID_25	FieldID_26	FieldID_27	FieldID_28	FieldID_29	FieldID_30	FieldID_31	FieldID_32	FieldID_33	FieldID_34	FieldID_35	FieldID_36	FieldID_37	FieldID_38	FieldID_39	FieldID_40	FieldID_41	FieldID_42	FieldID_43	FieldID_44	FieldID_45	FieldID_46	FieldID_47	FieldID_48	FieldID_49	FieldID_50	FieldID_51	FieldID_52	FieldID_53	FieldID_54	FieldID_55	FieldID_56	FieldID_57	FieldID_58	FieldID_59	FieldID_60	FieldID_61
0	11	3	-2.508220e+01	1.541179e+07	1	1.000000e+14	3	1	3	0	3	3	3	0	0	3	3	0	0	1	0	3	0	3	0	3	0	0	3	0	3	0	3	0	0	0	0	1	0	0	0	2	0	0	0	1	2	0	3	0	0	0	0	0	2	1	3	1	0	0	1	0	2	0	0	0	0	
0	11	4	-2.349371e+01	1.687748e+07	1	1.000000e+14	3	1	3	0	3	3	3	0	0	3	3	0	0	1	0	3	0	3	0	3	0	0	2	0	3	0	1	0	0	1	0	1	0	0	0	2	2	1	0	3	1	0	3	0	2	0	0	0	1	1	3	2	0	0	1	0	2	0	0	0	0	
0	12	1	-2.349371e+01	1.687748e+07	1	1.000000e+14	3	1	3	0	3	3	3	0	0	3	3	0	0	1	0	3	0	3	0	3	0	0	2	0	3	0	1	0	0	1	0	1	0	0	0	2	2	1	0	3	1	0	3	0	2	0	0	0	1	1	3	2	0	0	1	0	2	0	0	0	0	
0	12	2	-2.508220e+01	1.541179e+07	1	1.000000e+14	3	1	3	0	3	3	3	0	0	3	3	0	0	1	0	3	0	3	0	3	0	0	3	0	3	0	3	0	0	0	0	1	0	0	0	2	0	0	0	1	2	0	3	0	0	0	0	0	2	1	3	1	0	0	1	0	2	0	0	0	0	
0	12	3	-3.215487e+01	1.571724e+07	1	1.000000e+14	2	2	0	0	3	2	3	0	0	0	0	0	0	2	0	3	0	2	0	1	0	0	3	0	3	0	3	0	0	2	0	2	0	0	0	3	1	2	0	0	2	0	3	0	0	0	2	0	0	3	3	1	0	0	0	0	3	0	0	2	3	
0	12	4	-3.019658e+01	1.564831e+07	1	8.338129e-02	2	2	0	0	3	2	3	0	0	0	0	0	0	2	0	3	0	2	0	1	0	0	3	0	3	0	3	0	0	2	0	2	0	0	0	3	1	2	0	0	2	0	3	0	0	0	2	0	0	3	1	1	0	0	0	0	3	0	0	2	3	
0	13	1	-2.508220e+01	1.535185e+07	1	2.550926e-01	3	1	3	0	3	3	3	0	0	3	3	0	0	1	0	3	0	3	0	3	0	0	3	0	3	0	3	0	0	0	0	1	0	0	0	2	0	0	0	1	2	0	1	0	0	0	0	0	2	1	3	1	0	0	1	0	2	0	0	0	0	
0	13	2	-3.019658e+01	1.564831e+07	1	8.338129e-02	2	2	0	0	3	2	3	0	0	0	0	0	0	2	0	3	0	2	0	1	0	0	3	0	3	0	3	0	0	2	0	2	0	0	0	3	1	2	0	0	2	0	3	0	0	0	2	0	0	3	1	1	0	0	0	0	3	0	0	2	3	
0	13	3	-3.215487e+01	1.571724e+07	1	1.000000e+14	2	2	0	0	3	2	3	0	0	0	0	0	0	2	0	3	0	2	0	1	0	0	3	0	3	0	3	0	0	2	0	2	0	0	0	3	1	2	0	0	2	0	3	0	0	0	2	0	0	3	3	1	0	0	0	0	3	0	0	2	3	
0	13	4	-2.349371e+01	1.687748e+07	1	1.000000e+14	3	1	3	0	3	3	3	0	0	3	3	0	0	1	0	3	0	3	0	3	0	0	2	0	3	0	1	0	0	1	0	1	0	0	0	2	2	1	0	3	1	0	3	0	2	0	0	0	1	1	3	2	0	0	1	0	2	0	0	0	0	
0	14	1	-3.163913e+01	1.570266e+07	1	1.994033e-02	2	0	1	0	3	2	3	0	0	0	0	0	0	2	0	3	0	2	0	1	0	0	3	0	3	0	3	0	0	2	0	2	0	0	0	3	1	2	0	0	2	0	3	0	0	0	2	0	0	3	3	1	0	0	0	0	3	0	0	2	3	
0	14	2	-2.648756e+01	1.528057e+07	1	2.829244e-01	3	1	3	0	3	3	3	0	0	3	3	0	0	1	0	3	0	3	0	3	0	0	3	0	3	0	3	0	0	0	0	1	0	0	0	2	0	0	0	1	2	0	3	0	0	0	0	0	2	1	3	1	0	0	1	0	0	0	0	2	0	
0	14	3	-2.349371e+01	1.687748e+07	1	1.000000e+14	3	1	3	0	3	3	3	0	0	3	3	0	0	1	0	3	0	3	0	3	0	0	2	0	3	0	1	0	0	1	0	1	0	0	0	2	2	1	0	3	1	0	3	0	2	0	0	0	1	1	3	2	0	0	1	0	2	0	0	0	0	
0	14	4	-3.215487e+01	1.571724e+07	1	1.000000e+14	2	2	0	0	3	2	3	0	0	0	0	0	0	2	0	3	0	2	0	1	0	0	3	0	3	0	3	0	0	2	0	2	0	0	0	3	1	2	0	0	2	0	3	0	0	0	2	0	0	3	3	1	0	0	0	0	3	0	0	2	3	
0	14	5	-3.019658e+01	1.564831e+07	1	8.338129e-02	2	2	0	0	3	2	3	0	0	0	0	0	0	2	0	3	0	2	0	1	0	0	3	0	3	0	3	0	0	2	0	2	0	0	0	3	1	2	0	0	2	0	3	0	0	0	2	0	0	3	1	1	0	0	0	0	3	0	0	2	3	
0	15	1	-3.268205e+01	1.617975e+07	1	1.000000e+14	2	0	1	0	3	2	3	0	0	0	0	0	0	2	0	3	0	2	0	1	0	0	3	0	3	0	3	0	0	2	0	2	0	0	0	3	1	1	0	2	2	0	3	0	0	0	2	0	0	3	3	1	0	0	0	0	3	0	0	2	3	
